카테고리,소분류,번호,포스팅 제목,핵심 키워드
예산·회계,예산집행,67,출납폐쇄기한 — 지방자치단체 회계연도 출납 마감일과 처리 방법,출납폐쇄 마감 지방자치단체
예산·회계,예산집행,68,성과계획서 작성 — 성과목표·지표 설정 방법,성과계획서 성과목표 지표
예산·회계,예산집행,69,예산 불법 집행 유형 — 감사원 적발 사례 TOP 5,불법집행 감사 적발사례
예산·회계,예산집행,70,예산성과금 — 예산 절감 시 성과금 지급 기준,예산성과금 절감 지급기준
예산·회계,보조금/교부금,71,국고보조금 매칭 비율 — 중앙정부·지방비 부담 기준,국고보조금 매칭비율 지방비
예산·회계,보조금/교부금,72,지방보조금 정산 — 집행잔액·이자·수익금 반납 실무,지방보조금 정산 수익금
예산·회계,보조금/교부금,73,지방교부세 산정 기준 — 보통교부세 vs 특별교부세 차이,지방교부세 보통교부세 특별교부세
예산·회계,보조금/교부금,74,특별교부세 신청 요건 — 재해·현안사업 지원 기준,특별교부세 재해 현안사업
예산·회계,보조금/교부금,75,지방보조금 통합관리시스템 — e나라도움 주요 기능 활용법,e나라도움 지방보조금 시스템
예산·회계,보조금/교부금,76,정부보조 보조금 교부결정 취소 요건 — 반납 명령 절차,보조금 교부결정 취소 반납
예산·회계,보조금/교부금,77,지방재정조정제도 — 조정교부금·재정보전금 구분,재정조정 조정교부금 재정보전금
예산·회계,결산/회계처리,78,결산 검사 절차 — 지방의회 결산 승인 및 지적사항 처리,결산 지방의회 검사
예산·회계,결산/회계처리,79,세계잉여금 처리 — 지방자치단체 결산잉여금 사용 규정,세계잉여금 결산잉여금 처리
예산·회계,결산/회계처리,80,세입·세출 외 현금 관리 — 보증금·이행보증금 회계처리,세입세출외현금 보증금 이행보증금
예산·회계,결산/회계처리,81,회계과목 착오 정정 — 세출예산 과목 오류 수정 절차,회계과목 착오 정정절차
예산·회계,결산/회계처리,82,내부회계관리제도 — 공공기관 내부통제 적용 범위,내부회계관리 내부통제 공공기관
예산·회계,결산/회계처리,83,재정공시 의무 — 지방자치단체 공시 항목과 공시 기한,재정공시 공시항목 의무
예산·회계,결산/회계처리,84,세외수입 부과·징수 — 과태료·사용료·수수료 절차,세외수입 과태료 사용료 수수료
예산·회계,결산/회계처리,85,통합재정정보시스템(e호조) — 예산·회계 주요 기능 활용법,e호조 통합재정 시스템
예산·회계,재정분석/채무,86,재정분석 — 재정자립도·재정자주도 계산법과 의미,재정자립도 재정자주도 재정분석
예산·회계,재정분석/채무,87,지방자치단체 재정분석 — 채무비율·세입비율 공개 기준,재정분석 채무비율 세입
예산·회계,재정분석/채무,88,지방채 발행 절차 — 의회 의결·행안부 승인 요건,지방채 의회의결 발행한도
예산·회계,재정분석/채무,89,채무관리계획 — 지방채 잔액 공시와 상환 계획 수립,채무관리 지방채 상환계획
예산·회계,재정분석/채무,90,지방재정위기 관리 — 주의단계·위기단계 기준과 조치,재정위기 주의단계 위기단계
예산·회계,재정분석/채무,91,지방재정법 핵심 개정사항 — 2024년 이후 주요 변경 내용,지방재정법 개정 변경사항
예산·회계,재산/물품관리,92,공유재산 사용허가 — 사용료 산정 기준과 감면 요건,공유재산 사용허가 사용료
예산·회계,재산/물품관리,93,공유재산 사용료 산정 — 공시지가 기준 계산 공식,공유재산 공시지가 사용료 계산
예산·회계,재산/물품관리,94,물품 관리 — 비품과 소모품 구분 기준 및 재물조사 절차,물품관리 비품 소모품
예산·회계,재산/물품관리,95,공기업·특별회계 — 상수도·도시개발 특별회계 설치 기준,공기업 특별회계 상수도
예산·회계,재산/물품관리,96,지방세 체납처분 절차 — 압류·공매 단계별 실무,체납처분 압류 공매
예산·회계,기금/재정계획,97,지방자치단체 기금 설치 및 운용 — 예산과 기금의 차이,기금 예산 운용계획
예산·회계,기금/재정계획,98,지방재정투자사업 — 총사업비 관리 대상과 변경 승인 기준,총사업비 재정투자 변경승인
예산·회계,기금/재정계획,99,지방세입 세입 편성 — 지방세·세외수입·의존재원 구분,세입편성 지방세 세외수입 의존재원
예산·회계,기금/재정계획,100,지방자치단체 예산서 읽는 법 — 세입세출예산서 항목별 해설,예산서 세입세출 항목 해설
복무·급여,인사/급여,101,공무원 연가 일수 계산법 완전 정리 — 재직기간별 부여 기준,연가 연차 재직기간
복무·급여,인사/급여,102,공무원 시간외수당 공휴일·토요일 근무 시 계산법이 다르다,시간외수당 초과근무 공휴일
복무·급여,인사/급여,103,연가보상비 지급 기준 및 계산 공식 (상반기·하반기 지급일 포함),연가보상비 미사용연가 지급일
복무·급여,인사/급여,104,공무원 성과상여금 지급 등급별 금액 — S/A/B 등급 차이는?,성과상여금 성과급 등급
복무·급여,인사/급여,105,2026년 공무원 봉급표 완전 정리 — 직급·호봉별 실수령액,봉급표 급여 실수령액
복무·급여,인사/급여,106,공무원 육아휴직 수당 계산법 — 6+6 부모육아휴직제 적용,육아휴직 수당 복직
복무·급여,인사/급여,107,공무원 육아휴직 복직 후 15% 사후지급금 받는 법,사후지급금 복직 6개월
복무·급여,인사/급여,108,공무원 병가 60일 vs 공무상 병가 180일 — 차이와 적용 기준,병가 공무상병가 의사소견서
복무·급여,인사/급여,109,공무원 경조사 특별휴가 일수 총정리 — 결혼·사망·출산별 기준,경조사 특별휴가 결혼휴가
복무·급여,인사/급여,110,출산휴가 90일 vs 120일 — 다태아 임신 시 기준이 다르다,출산휴가 90일 120일
복무·급여,인사/급여,111,자녀돌봄휴가·가족돌봄휴가 10일 활용법 — 유치원 방학에도 가능?,가족돌봄휴가 자녀 10일
복무·급여,인사/급여,112,공무원 재해보상 — 공무상 부상으로 요양급여 받는 절차,공무상부상 요양급여 재해보상
복무·급여,인사/급여,113,공무원 겸직허가 — 유튜브·강의·저술 허용 범위 총정리,겸직허가 영리업무금지 유튜브
복무·급여,인사/급여,114,공무원 연금 재직기간 합산 신청 — 군인·사립교원 경력 포함 가능한가,연금 재직기간합산 퇴직급여
복무·급여,인사/급여,115,공무원 퇴직연금 vs 일시금 선택 — 10년 재직 시 기준,퇴직연금 일시금 10년
복무·급여,인사/급여,116,지방공무원 승진임용 — 심사승진 vs 시험승진 차이,승진 심사승진 시험승진
복무·급여,인사/급여,117,공무원 전직·전보 — 직렬 변경 가능 요건과 제한 사항,전직 전보 직렬변경
복무·급여,인사/급여,118,공무원 직위해제 vs 정직 — 보수 지급 차이와 복직 절차,직위해제 대기발령 보수
복무·급여,인사/급여,119,야간근무수당·휴일근무수당 — 봉급기준액의 몇 %인가?,야간수당 휴일수당 계산
복무·급여,인사/급여,120,공무원 특별성과가산금 — 상위 5% 대상 확대 및 지급 기준,특별성과가산금 상위5% 성과연봉
복무·급여,인사/급여,121,공무원 봉급 호봉 획정 — 군복무·민간경력 호봉 산입 기준,호봉 경력인정 군복무
복무·급여,인사/급여,122,공무원 맞벌이 부부 — 가족수당 중복 수령 가능한가?,가족수당 맞벌이 부양가족
복무·급여,복무/출장/여비,123,공무원 국내 출장 일비·숙박비 지급 기준 — 직급별 차등 정리,일비 숙박비 출장여비
복무·급여,복무/출장/여비,124,공용차 이용 출장 시 일비 50% 감액 — 알고 있었나요?,공용차 일비감액 출장
복무·급여,복무/출장/여비,125,국외 출장 여비 — 지역별 지급 기준표와 환율 적용 방법,국외출장 지역구분 환율
복무·급여,복무/출장/여비,126,공적 항공마일리지 신고 의무 — e사람 입력 방법과 불신고 시 제재,항공마일리지 공적마일리지 e사람
복무·급여,복무/출장/여비,127,출장 중 조기귀청 시 여비 반납 기준 — 남은 일비는 어떻게 되나?,조기귀청 여비반납 일비
복무·급여,복무/출장/여비,128,공무원 주민등록지 vs 근무지 거리에 따른 운임 지급 기준,운임 출장 거리계산
복무·급여,복무/출장/여비,129,시간외근무 부득이한 1시간 공제 — 예외 없이 적용되는가?,시간외근무 1시간공제 예외
복무·급여,복무/출장/여비,130,재택근무·유연근무 — 공무원 적용 유형별 요건 정리,재택근무 유연근무 탄력근무
복무·급여,복무/출장/여비,131,공무원 당직근무 수당 — 평일·공휴일 당직 지급 단가,당직수당 당직근무 공휴일
복무·급여,복무/출장/여비,132,공무원 외부강의 신고 — 사례금 상한 60만원 초과 시 제재,외부강의 사례금상한 신고
복무·급여,복무/출장/여비,133,청탁금지법 음식물 3만원·선물 5만원 기준 — 경조사 때는?,청탁금지법 3만원 경조사
복무·급여,복무/출장/여비,134,공무원 복무 위반 처리 — 무단결근·지각·조퇴 누적 시 징계 기준,무단결근 지각 징계
복무·급여,복무/출장/여비,135,복직 후 호봉·경력 — 휴직 기간이 호봉에 산입되는가?,복직 호봉산입 육아휴직
복무·급여,복무/출장/여비,136,공무원 영리업무 겸직 금지 — SNS 수익·강의료·부동산임대 해당 여부,영리업무 겸직금지 부동산임대
복무·급여,복무/출장/여비,137,공무원 정치활동 금지 — 선거운동·정당가입 어디까지 금지인가?,정치활동금지 선거 공무원
복무·급여,교육청/교직원,138,교원 연가 계산 — 방학 기간은 연가 일수에 포함되는가?,교원연가 방학 연가일수
복무·급여,교육청/교직원,139,교사 병가 신청 — 7일 이상 연속 시 진단서 제출 의무,병가 진단서 7일
복무·급여,교육청/교직원,140,교원 성과상여금 — S/A/B 등급 평가 기준과 지급 시기,성과상여금 교원 S등급
복무·급여,교육청/교직원,141,교원 정기전보 — 전보 주기와 의무전보 기준,전보 의무전보 전보주기
복무·급여,교육청/교직원,142,기간제 교사 — 정규직 전환 가능한가? 계약 기간 제한 기준,기간제교사 정규직 계약
복무·급여,교육청/교직원,143,교원 육아휴직 — 복직 후 학교 배치 우선 기준,육아휴직 복직 배치
복무·급여,교육청/교직원,144,교육공무직원 복무 — 정규 교원과 다른 연차·병가 기준,교육공무직 연차 무기계약직
복무·급여,교육청/교직원,145,학교 회계 집행 — 학교운영비와 목적사업비 전용 가능한가?,학교회계 목적사업비 전용
복무·급여,교육청/교직원,146,방과후학교 강사 — 4대보험 가입 의무 여부와 수당 지급 기준,방과후강사 4대보험 수당
복무·급여,교육청/교직원,147,학교폭력 담당교사 — 가해학생 조치 사항별 기록 보존 기간,학교폭력 생기부 기록보존
복무·급여,교육청/교직원,148,교원 징계 — 교원소청심사 제도 활용법과 처리 기한,교원징계 소청심사 불복
복무·급여,교육청/교직원,149,특수학교·특수학급 담당교사 — 법정 인원 기준과 초과학급 처리,특수교사 특수학급 법정인원
복무·급여,교육청/교직원,150,교장공모제 — 내부형·개방형 지원 요건 차이,교장공모 내부형 개방형
복무·급여,교육청/교직원,151,교원 연수 학점 이수 — 자격 연수·직무 연수 이수 의무 기준,교원연수 학점 자격연수
복무·급여,교육청/교직원,152,17개 시도교육청 공통 — 교원 초과근무수당 월 상한 시간,교원 초과근무 월상한
