content_id,url,title,content_type,current_category,proposed_domain,target_agency,jurisdiction,authority_status,audit_status,risk_level,verified_at,official_source_link_count,inbound_links,text_len,reason,recommended_action,priority
audit-cases:bid-period-insufficient,/audit-cases/bid-period-insufficient,공고기간 부족 입찰 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2483,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-qualification-001,/audit-cases/bid-qualification-001,적격심사 점수 오산정으로 낙찰 오류 — 지방계약법 시행령 제42조 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,24,2494,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-qualification-excessive,/audit-cases/bid-qualification-excessive,과도한 입찰 참가자격 제한 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2593,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-qualification-review-omitted,/audit-cases/bid-qualification-review-omitted,입찰참가자격 사전심사 누락 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2463,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-rebid-condition-change,/audit-cases/bid-rebid-condition-change,재공고 입찰 시 조건 임의 변경 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,LOCAL_GOVERNMENT,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-29,0,5,2572,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-two-envelope-violation,/audit-cases/bid-two-envelope-violation,2단계 입찰 절차 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-29,0,1,2495,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:bid-unfair-spec,/audit-cases/bid-unfair-spec,특정 업체 유리한 입찰 규격 설정 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-29,0,0,2679,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨 ; R-S1 내부링크 인바운드 0 (고아 페이지),"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정 ; 허브(토픽/카테고리)에서 링크 연결",P0
audit-cases:budget-appropriation-mistake,/audit-cases/budget-appropriation-mistake,예산과목 착오로 특별회계 예산을 일반회계 사업에 집행 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,7,1996,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-carryover-violation,/audit-cases/budget-carryover-violation,사고이월 요건 미충족으로 예산 반납 처리 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,4167,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-document-error,/audit-cases/budget-document-error,예산서 작성 오류로 인한 예산안 심의 지연 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,4145,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-execution-before-approval,/audit-cases/budget-execution-before-approval,지출원인행위 없이 선집행 후 사후 품의 처리 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,2168,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-execution-no-receipt,/audit-cases/budget-execution-no-receipt,증빙서류 없는 지출결의 — 세금계산서 미수취 집행 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,2163,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-execution-wrong-account,/audit-cases/budget-execution-wrong-account,예산 과목 착오로 다른 부서 예산 집행 — 타 부서 예산 오사용 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,2129,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-item-wrong-category,/audit-cases/budget-item-wrong-category,예산 목 오류 집행 — 비품을 소모품 목으로 지속 처리 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,EDUCATION_OFFICE|PUBLIC_SCHOOL,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,2264,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-item-wrong-travel,/audit-cases/budget-item-wrong-travel,출장비를 업무추진비로 집행 — 여비 목 혼용 오류 — 감사 지적 사례와 실무 대응 방법,audit-cases,,02_복무,LOCAL_GOVERNMENT,UNSPECIFIED,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,1922,"R-AC3 실제 감사보고서 출처이나 원문 URL·페이지·처분 미기재, 내부 backlog 문구 공개 노출 ; R-AC4 출처(교육청 감사보고서)와 본문 문맥(지자체 본청) 불일치 ; R-G1 금액이 있으나 조문 근거 표기 없음(fake precision)",original_document_url·page·disposition 채우고 backlog 문구 제거 ; 출처 재확인 후 정정하거나 재구성 사례로 재분류 ; 금액마다 근거 조문·기준일 병기,P0
audit-cases:budget-lapse-improper-carryover,/audit-cases/budget-lapse-improper-carryover,요건 미충족 사고이월 처리로 예산 2년째 집행 지연 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,2087,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-misuse,/audit-cases/budget-misuse,예산 목적 외 사용으로 인한 부적정 집행 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,LOCAL_GOVERNMENT,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,3911,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-overrun,/audit-cases/budget-overrun,예산 한도 초과 집행으로 인한 재정규율 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,3852,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-timing-violation,/audit-cases/budget-timing-violation,예산편성 시기 위반으로 인한 예산 집행 지연 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,LOCAL_GOVERNMENT,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,4083,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-transfer-limit-violation,/audit-cases/budget-transfer-limit-violation,예산 전용 한도 초과로 의회 승인 절차 누락 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,LOCAL_GOVERNMENT,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,4268,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-transfer-without-council-approval,/audit-cases/budget-transfer-without-council-approval,지방의회 의결 없이 항 간 이용 처리 — 재정규율 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,2,2169,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:budget-unauthorized-transfer,/audit-cases/budget-unauthorized-transfer,예산 목적 외 사용 (의회 의결 없는 이용) — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-29,0,0,2520,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨 ; R-S1 내부링크 인바운드 0 (고아 페이지),"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정 ; 허브(토픽/카테고리)에서 링크 연결",P0
audit-cases:business-expense-personal-use,/audit-cases/business-expense-personal-use,업무추진비로 개인 식사·경조사 비용 처리 — 공금 사적 유용 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,2205,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:cash-management-failure,/audit-cases/cash-management-failure,현금 출납 관리 부실로 현금 부족 발생 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,4050,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:completion-inspection-violation,/audit-cases/completion-inspection-violation,준공검사 법정기한 위반으로 검사 부적정 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,1,3747,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:completion-payment-checklist-001,/audit-cases/completion-payment-checklist-001,준공서류 미완비 상태에서 준공금 지급 — 지방계약법 시행령 제64조 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,03_보수수당,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,11,2606,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:contingency-fund-misuse,/audit-cases/contingency-fund-misuse,예측 가능한 지출에 예비비 사용 — 요건 미충족 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,2102,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:contingency-fund-purpose-misuse,/audit-cases/contingency-fund-purpose-misuse,목적예비비를 재해 이외 목적에 사용 — 예비비 목적 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,04_예산회계,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,1884,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:contract-amount-adjustment-001,/audit-cases/contract-amount-adjustment-001,물가변동 요건 미충족 시 계약금액 증액 — 지방계약법 시행령 제73조 위반 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,19,2331,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:contract-guarantee-exemption-wrong,/audit-cases/contract-guarantee-exemption-wrong,계약보증금 면제 요건 미충족 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,21,2630,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:contract-guarantee-not-collected,/audit-cases/contract-guarantee-not-collected,계약보증금 미징구로 인한 지방재정 손실 사건 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,2,3949,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:contract-late-execution,/audit-cases/contract-late-execution,계약체결 지연 (기한 초과) — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2548,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:contract-missing-special-terms,/audit-cases/contract-missing-special-terms,특수조건 누락 계약 체결 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2472,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:contract-no-guarantee-forfeiture,/audit-cases/contract-no-guarantee-forfeiture,계약 불이행 시 보증금 미귀속 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2661,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:contract-verbal-agreement,/audit-cases/contract-verbal-agreement,구두 합의에 의한 계약 변경 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,21,2544,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:contract-wrong-party,/audit-cases/contract-wrong-party,계약상대자 자격 미확인 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2484,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:debt-management-negligence,/audit-cases/debt-management-negligence,채권 관리 소홀로 시효 소멸 손실 발생 — 감사 지적 사례와 실무 대응 방법,audit-cases,,99_미분류,UNSPECIFIED,LOCAL,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,1,4117,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
audit-cases:defect-warranty-no-deposit,/audit-cases/defect-warranty-no-deposit,하자보증금 미징구 — 감사 지적 사례와 실무 대응 방법,audit-cases,,99_미분류,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2692,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:defect-warranty-short-period,/audit-cases/defect-warranty-short-period,하자담보책임기간 부족 설정 — 감사 지적 사례와 실무 대응 방법,audit-cases,,99_미분류,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-09,0,1,2653,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:defective-construction-cover-up,/audit-cases/defective-construction-cover-up,부실 시공 은폐 및 준공검사 부정 통과 사건 — 감사 지적 사례와 실무 대응 방법,audit-cases,,13_시설안전,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-29,0,0,4300,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨 ; R-S1 내부링크 인바운드 0 (고아 페이지),"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정 ; 허브(토픽/카테고리)에서 링크 연결",P0
audit-cases:defective-inspection,/audit-cases/defective-inspection,준공검사 부실로 공사 하자 발생 — 감사 지적 사례와 실무 대응 방법,audit-cases,,05_계약조달,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,7,3917,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:design-change-unapproved,/audit-cases/design-change-unapproved,설계변경 미승인 시공 — 감사 지적 사례와 실무 대응 방법,audit-cases,,99_미분류,UNSPECIFIED,LOCAL,SILMU_RECONSTRUCTED_CASE,UPDATE,MEDIUM,2026-06-18,0,1,2763,R-AC2 재구성 사례인데 '5단계 정합성 검증 완료' 배지가 사례 검증으로 오독됨,"provenance=SILMU_RECONSTRUCTED_CASE 라벨을 제목/상단에 명시, 배지 문구를 '법령근거 검증'으로 한정",P0
audit-cases:domestic-travel-transport-overclaim,/audit-cases/domestic-travel-transport-overclaim,국내출장 교통비 부풀리기 — 실비 초과 항공·열차비 청구 — 감사 지적 사례와 실무 대응 방법,audit-cases,,02_복무,UNSPECIFIED,UNSPECIFIED,UNVERIFIED,UPDATE,HIGH,2026-05-19,0,2,3776,R-AC1 검토출처에 내부 엔지니어링 메타데이터(커밋/배치/lawId) 노출,출처 필드를 사례 출처로 교체하고 검증방법은 별도 필드로 분리,P0
